DATE,STATION,NAME,ACMH,ACSH,AWND,DAPR,FMTM,FRGT,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
1960-01-01,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,49.0,30.0,,,,,,,,,,,,,,,,,,,
1960-01-02,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,49.0,29.0,,,,,,,,,,,,,,,,,,1.0,
1960-01-03,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,54.0,35.0,,,,,,,,,,,,,,,,,,,
1960-01-04,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,54.0,36.0,,,,,,,,,,,,,,,,,,,
1960-01-05,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,55.0,33.0,,,,,,,,,,1.0,,,,,,1.0,,,
1960-01-06,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,53.0,38.0,,,,,,,,,,,,,,,,1.0,,,
1960-01-07,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,56.0,46.0,,,,,,,,,,,,,,,,1.0,,1.0,
1960-01-08,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.45,0.0,0.0,,54.0,49.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-01-09,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.61,0.0,0.0,,51.0,46.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-01-10,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.08,0.0,0.0,,55.0,46.0,,,,,,,,,,,,,,,,,,1.0,
1960-01-11,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.48,0.0,0.0,,53.0,43.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-01-12,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,53.0,37.0,,,,,,,,,,,,,,,,,,,
1960-01-13,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.05,0.0,0.0,,49.0,33.0,,,,,,,,,,,,,,,,,,1.0,
1960-01-14,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.67,0.0,0.0,,48.0,40.0,,,,,,,,,,,,,,,,,,1.0,
1960-01-15,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,54.0,37.0,,,,,,,,,,,,,,,,,,,
1960-01-16,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,56.0,35.0,,,,,,,,,,,,,,,,,,,
1960-01-17,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,54.0,34.0,,,,,,,,,,,,,,,,1.0,,,
1960-01-18,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,51.0,40.0,,,,,,,,,,,,,,,,1.0,,1.0,
1960-01-19,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,52.0,41.0,,,,,,,,,,1.0,,,,,,1.0,,,
1960-01-20,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,58.0,47.0,,,,,,,,,,,,,,,,,,,
1960-01-21,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.11,0.0,0.0,,54.0,51.0,,,,,,,,,,,,,,,,,,1.0,
1960-01-22,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,49.0,,,,,,,,,,,,,,,,,,1.0,
1960-01-23,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,60.0,45.0,,,,,,,,,,1.0,,,,,,1.0,,,
1960-01-24,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.35,0.0,0.0,,60.0,47.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,
1960-01-25,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.58,0.0,0.0,,60.0,51.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-01-26,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.04,0.0,0.0,,58.0,50.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-01-27,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,60.0,47.0,,,,,,,,,,,,,,,,,,,
1960-01-28,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,47.0,,,,,,,,,,,,,,,,1.0,,,
1960-01-29,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,63.0,44.0,,,,,,,,,,,,,,,,1.0,,1.0,
1960-01-30,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,49.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,
1960-01-31,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,59.0,46.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,
1960-02-01,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.81,0.0,0.0,,62.0,51.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,
1960-02-02,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,59.0,43.0,,,,,,,,,,,,,,,,,,1.0,
1960-02-03,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.2,0.0,0.0,,59.0,47.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-02-04,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.16,0.0,0.0,,60.0,42.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,
1960-02-05,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.67,0.0,0.0,,60.0,53.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-02-06,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,63.0,54.0,,,,,,,,,,1.0,,,,,,1.0,,,
1960-02-07,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.06,0.0,0.0,,62.0,55.0,,,,,,,,,,,,,,,,1.0,,1.0,
1960-02-08,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.51,0.0,0.0,,60.0,50.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,
1960-02-09,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.36,0.0,0.0,,55.0,48.0,,,,,,,,,,,,1.0,,,,,,1.0,
1960-02-10,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.07,0.0,0.0,,60.0,44.0,,,,,,,,,,,,,,,,,,1.0,
1960-02-11,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,40.0,,,,,,,,,,,,,,,,,,,
1960-02-12,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,42.0,,,,,,,,,,,,,,,,1.0,,1.0,
1960-02-13,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.02,0.0,0.0,,60.0,45.0,,,,,,,,,,,,,,,,,,1.0,
1960-02-14,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,39.0,,,,,,,,,,,,,,,,,,,
1960-02-15,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,42.0,,,,,,,,,,,,,,,,1.0,,,
1960-02-16,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,64.0,42.0,,,,,,,,,,1.0,,,,,,1.0,,,
1960-02-17,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,38.0,,,,,,,,,,,,,,,,1.0,,,
1960-02-18,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.13,0.0,0.0,,55.0,42.0,,,,,,,,,,,,,,1.0,,,,1.0,
1960-02-19,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,60.0,40.0,,,,,,,,,,,,,,,,,,,
1960-02-20,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,65.0,42.0,,,,,,,,,,,,,,,,,,,
